shortname	gtrnadbid	species_long	query	class	family	genus	order	phylum	species	domain	txid	kingdom
Pfalc	plasFalc1	Plasmodium falciparum (Oct 2007)	Plasmodium falciparum	Aconoidasida	Plasmodiidae	Plasmodium	Haemosporida	Apicomplexa	Plasmodium falciparum	Eukaryota	5833	
Ppate		Physcomitrella patens (Version 1.1)	Physcomitrella patens	Bryopsida	Funariaceae	Physcomitrella	Funariales	Streptophyta	Physcomitrella patens	Eukaryota	3218	Viridiplantae
Spurp		Strongylocentrotus purpuratus (Sea urchin) (Version 2.1)	Strongylocentrotus purpuratus	Echinoidea	Strongylocentrotidae	Strongylocentrotus	Echinoida	Echinodermata	Strongylocentrotus purpuratus	Eukaryota	7668	Metazoa
Lmajo		Leishmania major (Version 5.0)	Leishmania major		Trypanosomatidae	Leishmania	Kinetoplastida		Leishmania major	Eukaryota	5664	
Ashb_goss_ATCC_10895	ashbGoss_ATCC10895	Ashbya gossypii ATCC 10895	Ashbya gossypii	Saccharomycetes	Saccharomycetaceae	Eremothecium	Saccharomycetales	Ascomycota	Eremothecium gossypii	Eukaryota	33169	Fungi
Aspe_fumi_Af293	aspeFumi_AF293	Aspergillus fumigatus Af293	Aspergillus fumigatus	Eurotiomycetes	Aspergillaceae	Aspergillus	Eurotiales	Ascomycota	Aspergillus fumigatus	Eukaryota	746128	Fungi
Aspe_nidu_FGSC_A4	aspeNidu_FGSC_A4	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Eurotiomycetes	Aspergillaceae	Aspergillus	Eurotiales	Ascomycota	Aspergillus nidulans	Eukaryota	162425	Fungi
Aspe_oryz_RIB40	aspeOryz_RIB40	Aspergillus oryzae RIB40	Aspergillus oryzae	Eurotiomycetes	Aspergillaceae	Aspergillus	Eurotiales	Ascomycota	Aspergillus oryzae	Eukaryota	5062	Fungi
Botr_cine_B05_10	botrCine_B05_10	Botrytis cinerea B05.10	Botrytis cinerea	Leotiomycetes	Sclerotiniaceae	Botrytis	Helotiales	Ascomycota	Botrytis cinerea	Eukaryota	40559	Fungi
Cand_albi_WO_1	candAlbi_WO_1	Candida albicans WO-1	Candida albicans	Saccharomycetes	Debaryomycetaceae	Candida	Saccharomycetales	Ascomycota	Candida albicans	Eukaryota	5476	Fungi
Cand_dubl_CD36	candDubl_CD36	Candida dubliniensis CD36	Candida dubliniensis	Saccharomycetes	Debaryomycetaceae	Candida	Saccharomycetales	Ascomycota	Candida dubliniensis	Eukaryota	42374	Fungi
Cand_glab_CBS_138	candGlab_CBS_138	Candida glabrata CBS 138	Candida glabrata	Saccharomycetes	Saccharomycetaceae	Nakaseomyces	Saccharomycetales	Ascomycota	[Candida] glabrata	Eukaryota	5478	Fungi
Cand_orth_Co_90_125	candOrth_CO_90_125	Candida orthopsilosis Co 90-125	Candida orthopsilosis	Saccharomycetes	Debaryomycetaceae	Candida	Saccharomycetales	Ascomycota	Candida orthopsilosis	Eukaryota	273371	Fungi
Cryp_gatt_WM276	crypGatt_WM276	Cryptococcus gattii WM276	Cryptococcus gattii	Tremellomycetes	Cryptococcaceae	Cryptococcus	Tremellales	Basidiomycota	Cryptococcus gattii VGI	Eukaryota	37769	Fungi
Cryp_neof_var_grubii_H99	crypNeof_VAR_GRUBII_H99	Cryptococcus neoformans var. grubii H99	Cryptococcus neoformans	Tremellomycetes	Cryptococcaceae	Cryptococcus	Tremellales	Basidiomycota	Cryptococcus neoformans	Eukaryota	5207	Fungi
Cryp_neof_var_neoformans_B_3501A	crypNeof_VAR_NEOFORMANS_B_3501	Cryptococcus neoformans var. neoformans B-3501A	Cryptococcus neoformans	Tremellomycetes	Cryptococcaceae	Cryptococcus	Tremellales	Basidiomycota	Cryptococcus neoformans	Eukaryota	5207	Fungi
Cryp_neof_var_neoformans_JEC21	crypNeof_VAR_NEOFORMANS_JEC21	Cryptococcus neoformans var. neoformans JEC21	Cryptococcus neoformans	Tremellomycetes	Cryptococcaceae	Cryptococcus	Tremellales	Basidiomycota	Cryptococcus neoformans	Eukaryota	5207	Fungi
Cybe_jadi_NBRC_0988_NBRC0988	cybeJadi_NBRC_0988_NBRC0988	Cyberlindnera jadinii NBRC 0988 NBRC0988	Cyberlindnera jadinii	Saccharomycetes	Phaffomycetaceae	Cyberlindnera	Saccharomycetales	Ascomycota	Cyberlindnera jadinii	Eukaryota	4903	Fungi
Deba_hans_CBS767	debaHans_CBS767	Debaryomyces hansenii CBS767	Debaryomyces hansenii	Saccharomycetes	Debaryomycetaceae	Debaryomyces	Saccharomycetales	Ascomycota	Debaryomyces hansenii	Eukaryota	4959	Fungi
Ence_cuni_GB_M1	enceCuni_GB_M1	Encephalitozoon cuniculi GB-M1	Encephalitozoon cuniculi		Unikaryonidae	Encephalitozoon		Microsporidia	Encephalitozoon cuniculi	Eukaryota	6035	Fungi
Ence_hell_ATCC_50504	enceHell_ATCC50504	Encephalitozoon hellem ATCC 50504	Encephalitozoon hellem		Unikaryonidae	Encephalitozoon		Microsporidia	Encephalitozoon hellem	Eukaryota	27973	Fungi
Ence_inte_ATCC_50506	enceInte_ATCC50506	Encephalitozoon intestinalis ATCC 50506	Encephalitozoon intestinalis		Unikaryonidae	Encephalitozoon		Microsporidia	Encephalitozoon intestinalis	Eukaryota	58839	Fungi
Ence_roma_SJ_2008	enceRoma_SJ_2008	Encephalitozoon romaleae SJ-2008	Encephalitozoon romaleae		Unikaryonidae	Encephalitozoon		Microsporidia	Encephalitozoon romaleae	Eukaryota	571949	Fungi
Erem_cymb_DBVPG#7215	eremCymb_DBVPG#7215	Eremothecium cymbalariae DBVPG#7215	Eremothecium cymbalariae	Saccharomycetes	Saccharomycetaceae	Eremothecium	Saccharomycetales	Ascomycota	Eremothecium cymbalariae	Eukaryota	45285	Fungi
Flam_velu_KACC42780	flamVelu_KACC42780	Flammulina velutipes KACC42780	Flammulina velutipes	Agaricomycetes	Physalacriaceae	Flammulina	Agaricales	Basidiomycota	Flammulina velutipes	Eukaryota	38945	Fungi
Fusa_gram_CS3005	fusaGram_CS3005	Fusarium graminearum CS3005	Fusarium graminearum	Sordariomycetes	Nectriaceae	Fusarium	Hypocreales	Ascomycota	Fusarium graminearum	Eukaryota	5518	Fungi
Fusa_gram_PH_1_NRRL_31084	fusaGram_PH_1_NRRL_31084	Fusarium graminearum PH-1 NRRL 31084	Fusarium graminearum	Sordariomycetes	Nectriaceae	Fusarium	Hypocreales	Ascomycota	Fusarium graminearum	Eukaryota	5518	Fungi
Fusa_pseu_CS3096	fusaPseu_CS3096	Fusarium pseudograminearum CS3096	Fusarium pseudograminearum	Sordariomycetes	Nectriaceae	Fusarium	Hypocreales	Ascomycota	Fusarium pseudograminearum	Eukaryota	101028	Fungi
Fusa_pseu_CS3270	fusaPseu_CS3270	Fusarium pseudograminearum CS3270	Fusarium pseudograminearum	Sordariomycetes	Nectriaceae	Fusarium	Hypocreales	Ascomycota	Fusarium pseudograminearum	Eukaryota	101028	Fungi
Fusa_vert_7600	fusaVert_7600	Fusarium verticillioides 7600	Fusarium verticillioides	Sordariomycetes	Nectriaceae	Fusarium	Hypocreales	Ascomycota	Fusarium verticillioides	Eukaryota	117187	Fungi
Kaza_afri_CBS_2517	kazaAfri_CBS_2517	Kazachstania africana CBS 2517	Kazachstania africana	Saccharomycetes	Saccharomycetaceae	Kazachstania	Saccharomycetales	Ascomycota	Kazachstania africana	Eukaryota	432096	Fungi
Kaza_naga_CBS_8797	kazaNaga_CBS_8797	Kazachstania naganishii CBS 8797	Kazachstania naganishii	Saccharomycetes	Saccharomycetaceae	Kazachstania	Saccharomycetales	Ascomycota	Kazachstania naganishii	Eukaryota	588726	Fungi
Kluy_lact_NRRL_Y_1140	kluyLact_NRRL_Y_1140	Kluyveromyces lactis NRRL Y-1140	Kluyveromyces lactis	Saccharomycetes	Saccharomycetaceae	Kluyveromyces	Saccharomycetales	Ascomycota	Kluyveromyces lactis	Eukaryota	28985	Fungi
Koma_past_CBS_7435	komaPast_CBS_7435	Komagataella pastoris CBS 7435	Komagataella pastoris	Saccharomycetes	Phaffomycetaceae	Komagataella	Saccharomycetales	Ascomycota	Komagataella pastoris	Eukaryota	4922	Fungi
Koma_past_GS115	komaPast_GS115	Komagataella pastoris GS115	Komagataella pastoris	Saccharomycetes	Phaffomycetaceae	Komagataella	Saccharomycetales	Ascomycota	Komagataella pastoris	Eukaryota	4922	Fungi
Lach_kluy_NRRL_Y_12651	lachKluy_NRRL_Y_12651	Lachancea kluyveri NRRL Y-12651	Lachancea kluyveri	Saccharomycetes	Saccharomycetaceae	Lachancea	Saccharomycetales	Ascomycota	Lachancea kluyveri	Eukaryota	4934	Fungi
Lach_ther_CBS_6340	lachTher_CBS_6340	Lachancea thermotolerans CBS 6340	Lachancea thermotolerans	Saccharomycetes	Saccharomycetaceae	Lachancea	Saccharomycetales	Ascomycota	Lachancea thermotolerans	Eukaryota	381046	Fungi
Magn_oryz_70_15	magnOryz_70_15	Magnaporthe oryzae 70-15	Magnaporthe oryzae	Sordariomycetes	Magnaporthaceae	Magnaporthe	Magnaporthales	Ascomycota	Magnaporthe oryzae	Eukaryota	318829	Fungi
Mill_fari_CBS_7064	millFari_CBS_7064	Millerozyma farinosa CBS 7064	Millerozyma farinosa	Saccharomycetes	Debaryomycetaceae	Millerozyma	Saccharomycetales	Ascomycota	Millerozyma farinosa	Eukaryota	4920	Fungi
Myce_ther_ATCC_42464	myceTher_ATCC42464	Myceliophthora thermophila ATCC 42464	Myceliophthora thermophila	Sordariomycetes	Chaetomiaceae	Thermothelomyces	Sordariales	Ascomycota	Thermothelomyces thermophila	Eukaryota	78579	Fungi
Naum_cast_CBS_4309	naumCast_CBS_4309	Naumovozyma castellii CBS 4309	Naumovozyma castellii	Saccharomycetes	Saccharomycetaceae	Naumovozyma	Saccharomycetales	Ascomycota	Naumovozyma castellii	Eukaryota	27288	Fungi
Naum_dair_CBS_421	naumDair_CBS_421	Naumovozyma dairenensis CBS 421	Naumovozyma dairenensis	Saccharomycetes	Saccharomycetaceae	Naumovozyma	Saccharomycetales	Ascomycota	Naumovozyma dairenensis	Eukaryota	27289	Fungi
Neur_cras_OR74A	neurCras_OR74A	Neurospora crassa OR74A	Neurospora crassa	Sordariomycetes	Sordariaceae	Neurospora	Sordariales	Ascomycota	Neurospora crassa	Eukaryota	5141	Fungi
Ogat_para_DL_1	ogatPara_DL_1	Ogataea parapolymorpha DL-1	Ogataea parapolymorpha	Saccharomycetes	Pichiaceae	Ogataea	Saccharomycetales	Ascomycota	Ogataea parapolymorpha	Eukaryota	1005962	Fungi
Peni_chry_P2niaD18	peniChry_P2NIAD18	Penicillium chrysogenum P2niaD18	Penicillium chrysogenum	Eurotiomycetes	Aspergillaceae	Penicillium	Eurotiales	Ascomycota	Penicillium chrysogenum	Eukaryota	5076	Fungi
