Bdist3	braDis3	Brachypodium distachyon Bd21 (JGI v3.0)	eukaryota	Streptophyta
Mtrun4	medTru4	Medicago truncatula (Mt4.0v1)	eukaryota	Streptophyta
Graim2	gosRai2	Gossypium raimondii (Cotton v2)	eukaryota	Streptophyta
Ptric3	popTri3	Populus trichocarpa (JGI v3.0)	eukaryota	Streptophyta
Sbico3	sorBic3	Sorghum bicolor (Version 3.1)	eukaryota	Streptophyta
Oarie1	oviAri3	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia
Zmays6	zeaMay6	Zea mays B73 (Version AGPv3)	eukaryota	Streptophyta
Gmax2	glyMax2	Glycine max (soybean) (Wm82.a2)	eukaryota	Streptophyta
Rnorv6	rn6	Rattus norvegicus (Rat Jul. 2014 RGSC 6.0/rn6)	eukaryota	Mammalia
Vpaco2	vicPac2	Vicugna pacos (Alpaca Mar. 2013 Vicugna_pacos-2.0.1/vicPac2)	eukaryota	Mammalia
Osati7	orySat7	Oryza sativa Japonica Group (Japanese rice IRGSP-1.0)	eukaryota	Streptophyta
danRer10	danRer10	Danio rerio (Zebrafish Sep. 2014 GRCz10/danRer10)	eukaryota	Vertebrata
proCap1	proCap1	Procavia capensis (Rock hyrax Jul. 2008 Broad/proCap1)	eukaryota	Mammalia
pteVam1	pteVam1	Pteropus vampyrus (Megabat Jul. 2008 Broad/pteVam1)	eukaryota	Mammalia
manEsc6	manEsc6	Manihot esculenta (Cassava v6)	eukaryota	Spermatophyta
Pfalc	plasFalc1	Plasmodium falciparum (Oct 2007)	eukaryota	Apicomplexa	
Ppate		Physcomitrella patens (Version 1.1)	eukaryota	Bryophyta	
Spurp		Strongylocentrotus purpuratus (Sea urchin) (Version 2.1)	eukaryota	Echinodermata	
Lmajo		Leishmania major (Version 5.0)	eukaryota	Euglenozoa	
Ashb_goss_ATCC_10895	ashbGoss_ATCC10895	Ashbya gossypii ATCC 10895	eukaryota	Fungi	
Aspe_fumi_Af293	aspeFumi_AF293	Aspergillus fumigatus Af293	eukaryota	Fungi	
Aspe_nidu_FGSC_A4	aspeNidu_FGSC_A4	Aspergillus nidulans FGSC A4	eukaryota	Fungi	
Aspe_oryz_RIB40	aspeOryz_RIB40	Aspergillus oryzae RIB40	eukaryota	Fungi	
Botr_cine_B05_10	botrCine_B05_10	Botrytis cinerea B05.10	eukaryota	Fungi	
Cand_albi_WO_1	candAlbi_WO_1	Candida albicans WO-1	eukaryota	Fungi	
Cand_dubl_CD36	candDubl_CD36	Candida dubliniensis CD36	eukaryota	Fungi	
Cand_glab_CBS_138	candGlab_CBS_138	Candida glabrata CBS 138	eukaryota	Fungi	
Cand_orth_Co_90_125	candOrth_CO_90_125	Candida orthopsilosis Co 90-125	eukaryota	Fungi	
Cryp_gatt_WM276	crypGatt_WM276	Cryptococcus gattii WM276	eukaryota	Fungi	
Cryp_neof_var_grubii_H99	crypNeof_VAR_GRUBII_H99	Cryptococcus neoformans var. grubii H99	eukaryota	Fungi	
Cryp_neof_var_neoformans_B_3501A	crypNeof_VAR_NEOFORMANS_B_3501	Cryptococcus neoformans var. neoformans B-3501A	eukaryota	Fungi	
Cryp_neof_var_neoformans_JEC21	crypNeof_VAR_NEOFORMANS_JEC21	Cryptococcus neoformans var. neoformans JEC21	eukaryota	Fungi	
Cybe_jadi_NBRC_0988_NBRC0988	cybeJadi_NBRC_0988_NBRC0988	Cyberlindnera jadinii NBRC 0988 NBRC0988	eukaryota	Fungi	
Deba_hans_CBS767	debaHans_CBS767	Debaryomyces hansenii CBS767	eukaryota	Fungi	
Ence_cuni_GB_M1	enceCuni_GB_M1	Encephalitozoon cuniculi GB-M1	eukaryota	Fungi	
Ence_hell_ATCC_50504	enceHell_ATCC50504	Encephalitozoon hellem ATCC 50504	eukaryota	Fungi	
Ence_inte_ATCC_50506	enceInte_ATCC50506	Encephalitozoon intestinalis ATCC 50506	eukaryota	Fungi	
Ence_roma_SJ_2008	enceRoma_SJ_2008	Encephalitozoon romaleae SJ-2008	eukaryota	Fungi	
Erem_cymb_DBVPG#7215	eremCymb_DBVPG#7215	Eremothecium cymbalariae DBVPG#7215	eukaryota	Fungi	
Flam_velu_KACC42780	flamVelu_KACC42780	Flammulina velutipes KACC42780	eukaryota	Fungi	
Fusa_gram_CS3005	fusaGram_CS3005	Fusarium graminearum CS3005	eukaryota	Fungi	
Fusa_gram_PH_1_NRRL_31084	fusaGram_PH_1_NRRL_31084	Fusarium graminearum PH-1 NRRL 31084	eukaryota	Fungi	
Fusa_pseu_CS3096	fusaPseu_CS3096	Fusarium pseudograminearum CS3096	eukaryota	Fungi	
Fusa_pseu_CS3270	fusaPseu_CS3270	Fusarium pseudograminearum CS3270	eukaryota	Fungi	
Fusa_vert_7600	fusaVert_7600	Fusarium verticillioides 7600	eukaryota	Fungi	
Kaza_afri_CBS_2517	kazaAfri_CBS_2517	Kazachstania africana CBS 2517	eukaryota	Fungi	
Kaza_naga_CBS_8797	kazaNaga_CBS_8797	Kazachstania naganishii CBS 8797	eukaryota	Fungi	
Kluy_lact_NRRL_Y_1140	kluyLact_NRRL_Y_1140	Kluyveromyces lactis NRRL Y-1140	eukaryota	Fungi	
Koma_past_CBS_7435	komaPast_CBS_7435	Komagataella pastoris CBS 7435	eukaryota	Fungi	
Koma_past_GS115	komaPast_GS115	Komagataella pastoris GS115	eukaryota	Fungi	
Lach_kluy_NRRL_Y_12651	lachKluy_NRRL_Y_12651	Lachancea kluyveri NRRL Y-12651	eukaryota	Fungi	
Lach_ther_CBS_6340	lachTher_CBS_6340	Lachancea thermotolerans CBS 6340	eukaryota	Fungi	
Magn_oryz_70_15	magnOryz_70_15	Magnaporthe oryzae 70-15	eukaryota	Fungi	
Mill_fari_CBS_7064	millFari_CBS_7064	Millerozyma farinosa CBS 7064	eukaryota	Fungi	
Myce_ther_ATCC_42464	myceTher_ATCC42464	Myceliophthora thermophila ATCC 42464	eukaryota	Fungi	
Naum_cast_CBS_4309	naumCast_CBS_4309	Naumovozyma castellii CBS 4309	eukaryota	Fungi	
Naum_dair_CBS_421	naumDair_CBS_421	Naumovozyma dairenensis CBS 421	eukaryota	Fungi	
Neur_cras_OR74A	neurCras_OR74A	Neurospora crassa OR74A	eukaryota	Fungi	
Ogat_para_DL_1	ogatPara_DL_1	Ogataea parapolymorpha DL-1	eukaryota	Fungi	
Peni_chry_P2niaD18	peniChry_P2NIAD18	Penicillium chrysogenum P2niaD18	eukaryota	Fungi	
Scere3	sacCer3	Saccharomyces cerevisiae (S288c Apr 2011)	eukaryota	Fungi	
Sacc_boulardii_17	saccSp_BOULARDII_17	Saccharomyces sp. boulardii 17	eukaryota	Fungi	
Sacc_boulardii_ATCC_MYA_796	saccSp_BOULARDII_ATCCMYA_796	Saccharomyces sp. boulardii ATCC MYA-796	eukaryota	Fungi	
Sacc_Ashbya_aceri	saccSp_ASHBYA_ACERI	Saccharomycetaceae sp. Ashbya aceri	eukaryota	Fungi	
Sche_stip_CBS_6054	scheStip_CBS_6054	Scheffersomyces stipitis CBS 6054	eukaryota	Fungi	
Schi_pomb_972h	schiPomb_972H	Schizosaccharomyces pombe 972h-	eukaryota	Fungi	
Spor_reil_SRZ2	sporReil_SRZ2	Sporisorium reilianum SRZ2	eukaryota	Fungi	
Tetr_blat_CBS_6284	tetrBlat_CBS_6284	Tetrapisispora blattae CBS 6284	eukaryota	Fungi	
Tetr_phaf_CBS_4417	tetrPhaf_CBS_4417	Tetrapisispora phaffii CBS 4417	eukaryota	Fungi	
Thie_terr_NRRL_8126	thieTerr_NRRL_8126	Thielavia terrestris NRRL 8126	eukaryota	Fungi	
Toru_delb_CBS_1146	toruDelb_CBS_1146	Torulaspora delbrueckii CBS 1146	eukaryota	Fungi	
Usti_mayd_521	ustiMayd_521	Ustilago maydis 521	eukaryota	Fungi	
Vals_mali_03_8	valsMali_03_8	Valsa mali 03-8	eukaryota	Fungi	
Vert_dahl_JR2	vertDahl_JR2	Verticillium dahliae JR2	eukaryota	Fungi	
Vert_dahl_VdLs_17	vertDahl_VDLS_17	Verticillium dahliae VdLs.17	eukaryota	Fungi	
Yarr_lipo_CLIB122	yarrLipo_CLIB122	Yarrowia lipolytica CLIB122	eukaryota	Fungi	
Yarr_lipo_PO1f	yarrLipo_PO1F	Yarrowia lipolytica PO1f	eukaryota	Fungi	
Yarr_lipo_WSH_Z06	yarrLipo_WSH_Z06	Yarrowia lipolytica WSH-Z06	eukaryota	Fungi	
Zygo_roux_CBS_732	zygoRoux_CBS_732	Zygosaccharomyces rouxii CBS 732	eukaryota	Fungi	
Agamb		Anopheles gambiae	eukaryota	Insecta	
Danan3	droAna3	Drosophila ananassae (D. ananassae Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
Derec2	droEre2	Drosophila erecta (D. erecta Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
Dgrim2	droGri2	Drosophila grimshawi (D. grimshawi Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
Dmela6	dm6	Drosophila melanogaster (D. melanogaster Aug. 2014 BDGP Release 6 + ISO1 MT/dm6)	eukaryota	Insecta	
Dmoja3	droMoj3	Drosophila mojavensis (D. mojavensis Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
Dpers1	droPer1	Drosophila persimilis (D. persimilis Oct. 2005 Broad)	eukaryota	Insecta	
Dpseu4	dp4	Drosophila pseudoobscura (D. pseudoobscura Feb. 2006)	eukaryota	Insecta	
Dsech1	droSec1	Drosophila sechellia (D. sechellia Oct. 2005 Broad)	eukaryota	Insecta	
Dsimu1	droSim1	Drosophila simulans (D. simulans Apr. 2005 WUGSC mosaic 1.0)	eukaryota	Insecta	
Dviri3	droVir3	Drosophila virilis (D. virilis Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
Dwill1	droWil1	Drosophila willistoni (D. willistoni Feb. 2006)	eukaryota	Insecta	
Dyaku2	droYak2	Drosophila yakuba (D. yakuba Nov. 2005 WUGSC 7.1)	eukaryota	Insecta	
Amela1	ailMel1	Ailuropoda melanoleuca (panda) (BGI-Shenzhen AilMel 1.0 Dec 2009)	eukaryota	Mammalia	
Bacut1	balAcu1	Balaenoptera acutorostrata scammoni (Minke whale Oct. 2013 BalAcu1.0/balAcu1)	eukaryota	Mammalia	
Btaur8	bosTau8	Bos taurus (Cow Jun. 2014 Bos_taurus_UMD_3.1.1/bosTau8)	eukaryota	Mammalia	
Btaur7	bosTau7	Bos taurus (cow) (Baylor Btau_4.6.1 Oct 2011)	eukaryota	Mammalia	
Cjacc3	calJac3	Callithrix jacchus (marmoset) (WUGSC 3.2 Mar 2009)	eukaryota	Mammalia	
Cfami3	canFam3	Canis familiaris (dog) (CanFam3.1 Sept 2011)	eukaryota	Mammalia	
Cporc3	cavPor3	Cavia porcellus (Guinea pig) (Broad Feb 2008)	eukaryota	Mammalia	
Csimu1	cerSim1	Ceratotherium simum (White rhinoceros May 2012 CerSimSim1.0/cerSim1)	eukaryota	Mammalia	
Cgris1	criGri1	Cricetulus griseus cell line CHO-K1 (Chinese hamster ovary CriGri 1.0 Aug 2011)	eukaryota	Mammalia	
Dnove3	dasNov3	Dasypus novemcinctus (Armadillo Dec. 2011 Baylor/dasNov3)	eukaryota	Mammalia	
Ecaba2	equCab2	Equus caballus (horse) (Sep 2007)	eukaryota	Mammalia	
Eeuro2	eriEur2	Erinaceus europaeus (Hedgehog May 2012 EriEur2.0/eriEur2)	eukaryota	Mammalia	
Fcatu5	felCat5	Felis catus (cat) (Felis_catus-6.2 Sept 2011)	eukaryota	Mammalia	
Ggori3	gorGor3	Gorilla gorilla gorilla (gorilla) (gorGor3.1 May 2011)	eukaryota	Mammalia	
